species_orig,species,lifestage,movement_type,location_habitat,parameter,movement_area_km2,linear_dist_orig,linear_dist_km,linear_dist_calc,Source
Carangoides fulvoguttatus,Carangoides fulvoguttatus,,home range,"Ningaloo Reef, Western Australia (coral reef) PAT",Range (KUD95) 10,17.3,<5.6,5.6,,Pillans et al. (2011)
Carangoides fulvoguttatus,Carangoides fulvoguttatus,,home range,"Ningaloo Reef, Western Australia (coral reef) PAT",Mean (SD) (KUD95) 10,14.7,,4.326271063,,Pillans et al. (2011)
Caranx ignobilis,Caranx ignobilis,,home range,Northwest Hawaiian Islands (high energy spur and groove outside barrier reef) PAT,Maximum 24,NA,<5,5,,Meyer et al. (2007a)
Caranx ignobilis,Caranx ignobilis,,home range,"Oahu, Hawai'i (patch reef, lagoon, mangroves, reef flats) AAT, TMR",Range (KUD95) 4,0.048,,0.247215489,,Wetherbee et al. (2004)
Caranx ignobilis,Caranx ignobilis,,home range,"Oahu, Hawai'i (patch reef, lagoon, mangroves, reef flats) AAT, TMR",Mean (KUD95) 4,0.0043,,0.07399277,,Wetherbee et al. (2004)
Caranx ignobilis,Caranx ignobilis,,home range,"Oahu, Hawai'i (patch reef, lagoon, mangroves, reef flats) AAT, TMR",Range 4,NA,1.4-3.9,2.65,,Wetherbee et al. (2004)
Caranx ignobilis,Caranx ignobilis,,home range,"Oahu, Hawai'i (patch reef, lagoon, mangroves, reef flats) AAT, TMR",Mean (SD) 4,NA,2.9 (1.14),2.9,,Wetherbee et al. (2004)
Caranx melampygus,Caranx melampygus,,home range (day/night),"Hawai'i (patch reef) AAT, TMR",Range 5,NA,3.2-6.2,4.7,,Holland et al. (1996)
Caranx melampygus,Caranx melampygus,,home range (day/night),"Hawai'i (patch reef) AAT, TMR",Mean (SD) 5,NA,4.6 (1.08),4.6,,Holland et al. (1996)
Caranx melampygus,Caranx melampygus,,home range (crepuscular),"Honokoau, Hawai'i (coral reef) PAT, TMR",Maximum 4/5,NA,1.1-2.8,1.95,,Meyer & Honebrink (2005)
Caranx sexfasciatus,Caranx sexfasciatus,,home range juveniles,"Apo Island, Philippines (coral reef) UO, SCD/AEO",Maximum NA,0.6,0.6-0.9,0.75,,Maypa (2012)
Caranx sexfasciatus,Caranx sexfasciatus,,home range adults,"Apo Island, Philippines (coral reef) UO, SCD/AEO",Maximum NA,0.77,1,1,,Maypa (2012)
Pseudocaranx dentex,Pseudocaranx dentex,,home range,"Faial Channel, Azores Islands (inshore and offshore reefs) AAT",Range (KUD95) 7,1.9,0.6-7.7,4.15,,Afonso et al. (2009)
Pseudocaranx dentex,Pseudocaranx dentex,,home range,"Faial Channel, Azores Islands (inshore and offshore reefs) AAT",Mean (SD) (KUD95) 7,1,2.2 (2.82),2.2,,Afonso et al. (2009)
Chaetodon auriga,Chaetodon auriga,,home range,"Hawai'i Island, Hawai'i (leeward reefs) UO",Maximum 2,0.12223,<0.394 Circle ,0.394,Circle,Hourigan (1987)
Chaetodon kleini,Chaetodon kleini,,home range,"Hawai'i Island, Hawai'i (leeward reefs) UO",Maximum 3,0.000459,<0.002 Circle ,0.002,Circle,Hourigan 1987)
Chaetodon plebius,Chaetodon plebius,,home range,"One Tree Reef, Great Barrier Reef (lagoon channel, patch reefs) TMR",Maximum 83,0.0002,0.016 Circle ,0.016,Circle,Fowler (1988)
Chaetodon multicinctus,Chaetodon multicinctus,,home range,"Hawai'i Island, Hawai'i (leeward reefs) UO",Maximum 44,0.000171,<0.015 Circle ,0.015,Circle,Hourigan (1987)
