stockid,B0_scalar,r,sigmaP,biomass_max,p,B0,bmsy,fmsy,msy
SEELNSSA2,0.815938756,1.30880846,0.296887918,445435.0604,0.2,363447.7292,146061.491,1.090673717,159305.4293
SEELNSSA3,1.021029398,1.216750076,0.314218404,515868.3974,0.2,526716.7992,211675.6684,1.013958397,214630.3213
SEELNSSA4,0.535253722,0.743567182,0.222940484,569735.4827,0.2,304953.0379,122553.7865,0.619639318,75939.14469
SFLOUNMATLC,1.216549232,0.35030388,0.054746709,135695.9816,0.2,165080.8421,66342.28801,0.2919199,19366.63407
SHAKE4VWX,0.976675731,0.410073077,0.101863602,146000,0.2,142594.6567,57305.59441,0.341727564,19582.9012
SHCROCKPCOAST,0.93815063,0.310451829,0.101821367,12900,0.2,12102.14313,4863.579898,0.258709857,1258.256061
SILVERFISHSE,1.461691751,0.105960956,0.04881933,26017.9,0.2,38030.14982,15283.46427,0.088300796,1349.542066
SKJCIO,0.828280615,0.806562135,0.107488136,1810000,0.2,1499187.913,602489.9985,0.672135112,404954.6827
SKJCWPAC,1.874116331,0.318758674,0.11566594,5100000,0.2,9557993.287,3841143.136,0.265632228,1020331.41
SKJEATL,0.999220837,1.292114471,0.014630463,768000,0.2,767401.6031,308401.493,1.076762059,332075.0267
SKJWATL,1.01386217,1.735994582,0.040095844,58300,0.2,59108.16448,23754.24563,1.446662151,34364.36808
SMDOGATL,0.881401501,0.125056238,0.053517969,32937,0.2,29030.72122,11666.79576,0.104213531,1215.837986
SMOOTHOREOCR,0.946004044,0.135124634,0.013035459,110828.1095,0.2,104843.8398,42134.38777,0.112603862,4744.494772
SMOOTHOREOWECR,0.368763226,0.01241624,0.013021484,262787.5526,0.2,96906.38553,38944.50293,0.010346866,402.9535727
SMSHRMPMEDGSA17-18,0.969121703,0.338387215,0.038138923,72640.13936,0.2,70397.13559,28291.02993,0.281989346,7977.76903
SMULLMEDGSA15-16,1.079194987,0.917431837,0.188795182,6723.127247,0.2,7255.565224,2915.848936,0.76452653,2229.24387
SMULLMEDGSA9,1.051724366,0.8957001,0.053882118,1580,0.2,1661.724498,667.8098068,0.74641675,498.4644257
SNAPSAUSSSG,1.407736814,0.164131622,0.028082712,4310,0.2,6067.34567,2438.330146,0.136776351,333.5059009
SNOWCRAB3K,1.272346319,2.081484274,0.219196362,19400,0.2,24683.51859,9919.752519,1.734570228,17206.50739
SNOWCRABESJ,0.742112532,1.273447618,0.156536221,4410,0.2,3272.716265,1315.231266,1.061206349,1395.73177
SNOWCRABNPAC,0.708534523,0.815711347,0.213836963,1780,0.2,1261.19145,506.8445578,0.679759456,344.5323807
SNOWCRABSGSL,1.455822453,0.454363709,0.112033818,103000,0.2,149949.7127,60261.42645,0.378636424,22817.17102
SNOWCRABWSJ,0.894280283,0.675001243,0.149092726,33700,0.2,30137.24553,12111.48306,0.562501036,6812.721767
SNOWGROUPSATLC,1.24321135,0.130525119,0.028392128,2940,0.2,3655.041368,1468.879151,0.108770932,159.7713545
SNROCKPCOAST,0.981801041,0.02068877,0.014588711,87500,0.2,85907.59112,34524.33414,0.017240641,595.2216611
